name,generic_name,drug_class,max_daily_dose_mg,max_daily_dose_text,contraindications,allergy_tags,interactions,source
Aspirin,Aspirin,NSAID,4000,4000 mg/day,"pregnancy|bleeding disorders|stomach bleeding|asthma","aspirin|nsaid|salicylate","Warfarin|Ibuprofen|NSAIDs|Methotrexate","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
Warfarin,Warfarin,Anticoagulant,10,10 mg/day,"pregnancy|liver disease|active bleeding","warfarin","Aspirin|NSAIDs|Ibuprofen|Amoxicillin|Azithromycin|Vitamin K","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
Ibuprofen,Ibuprofen,NSAID,3200,3200 mg/day,"peptic ulcer|chronic kidney disease|GI bleeding","ibuprofen|nsaid|propionic acid nsaid","Aspirin|Warfarin|Lithium|Lisinopril|NSAIDs","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
Lisinopril,Lisinopril,ACE inhibitor,40,40 mg/day,"pregnancy|angioedema history","ace inhibitor|lisinopril","Potassium supplements|NSAIDs|Spironolactone|Ibuprofen","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
Metformin,Metformin,Biguanide,2000,2000 mg/day,"severe renal impairment|liver disease|metabolic acidosis","metformin|biguanide","Contrast dye|Alcohol","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
Atorvastatin,Atorvastatin,Statin,80,80 mg/day,"active liver disease|pregnancy","statin|atorvastatin","Clarithromycin|Grapefruit juice|Gemfibrozil","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
Simvastatin,Simvastatin,Statin,40,40 mg/day,"liver disease|pregnancy|concurrent gemfibrozil","statin|simvastatin","Itraconazole|Clarithromycin|Amiodarone|Amlodipine","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
Metoprolol,Metoprolol,Beta blocker,200,200 mg/day,"severe bradycardia|acute heart failure","beta blocker|metoprolol","Fluoxetine|Verapamil|Clonidine","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
Amlodipine,Amlodipine,Calcium channel blocker,10,10 mg/day,"severe hypotension","amlodipine|calcium channel blocker","Ketoconazole|Simvastatin","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
Losartan,Losartan,ARB,100,100 mg/day,"pregnancy","arb|losartan","Potassium-sparing diuretics|Lithium","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
Hydrochlorothiazide,Hydrochlorothiazide,Thiazide diuretic,50,50 mg/day,"anuria|electrolyte depletion","hydrochlorothiazide|sulfa|sulfonamide","Lithium|NSAIDs|Digoxin","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
Sertraline,Sertraline,SSRI,200,200 mg/day,"MAOI use within 14 days","sertraline|ssri","MAOIs|Pimozide|Tramadol","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
Fluoxetine,Fluoxetine,SSRI,80,80 mg/day,"MAOI use|thioridazine use","fluoxetine|ssri","MAOIs|Pimozide|Thioridazine|Metoprolol|Tramadol","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
Omeprazole,Omeprazole,PPI,40,40 mg/day,"concurrent rilpivirine","omeprazole|ppi","Clopidogrel|Methotrexate","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
Gabapentin,Gabapentin,Gabapentinoid,3600,3600 mg/day,"severe respiratory depression","gabapentin|gabapentinoid","Alcohol|Opioids","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
Tramadol,Tramadol,Opioid,400,400 mg/day,"MAOI use|opioid dependence|seizure disorder","tramadol|opioid","SSRIs|MAOIs|Carbamazepine|Sertraline|Fluoxetine","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
Oxycodone,Oxycodone,Opioid,,Individualized,"severe asthma|paralytic ileus","oxycodone|opioid","Alcohol|Benzodiazepines|CNS depressants|Gabapentin","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
Amoxicillin,Amoxicillin,Penicillin antibiotic,3000,3000 mg/day,"penicillin allergy","amoxicillin|penicillin|beta-lactam","Allopurinol|Warfarin","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
Azithromycin,Azithromycin,Macrolide antibiotic,500,500 mg/day,"cholestatic jaundice|QT prolongation history","azithromycin|macrolide","Warfarin|Digoxin|Antacids","seeded from local formulary schema; designed for openFDA/DailyMed refresh"
